HD,Teff,Teff_err,Rstar,Rstar_err,angdia,angdia_err,plx,plx_err
TIC100990000,6169,64,1.12,0.01,0.1656,0.0015,15.8999,0.0291804
TIC101011575,4511,110,0.65,0.02,0.1913,0.0059,31.6501,0.0319397
TIC101955023,3270,140,0.21,0.01,0.1548,0.0074,79.2543,0.0437672
TIC102264230,5565,60,1.16,0.01,0.0405,0.0008,3.74964,0.0679499
TIC102840239,4869,77,0.77,0.01,0.1197,0.0016,16.7183,0.0359962
TIC103633434,3997,51,0.62,0.02,0.1453,0.0047,25.2016,0.0301893
TIC106402532,5585,60,0.95,0.01,0.1172,0.0013,13.2674,0.030881
TIC110999033,4667,305,0.69,0.02,0.0247,0.0007,3.84563,0.030287
TIC113979956,3537,93,0.26,0.05,0.0218,0.0042,9.01663,0.0666993
TIC116483514,4266,100,0.66,0.1,0.1888,0.0286,30.7613,0.0211787
TIC118327550,3433,100,0.43,0.03,0.1814,0.0127,45.3562,0.068181
TIC120042828,6010,158.66,1.15,0.27,0.0074,0.0017,0.687467,0.0250167
TIC120043084,4597,61.91,0.7,0.02,0.0162,0.0005,2.48732,0.0226198
TIC120044687,3750,150,0.51,0.02,0.0163,0.0007,3.4344,0.0269563
TIC120103325,4623,200,0.62,0.08,0.0181,0.0023,3.14405,0.0209535
TIC120103486,5661,76,1.01,0.14,0.0284,0.0039,3.01994,0.0203997
TIC120105003,5431,86,0.85,0.09,0.0231,0.0025,2.92682,0.0574434
TIC120105470,5445,93.89,0.84,0.09,0.0244,0.0026,3.12223,0.0439795
TIC120105569,5097,77.02,0.78,0.04,0.0232,0.0012,3.1983,0.0161878
TIC120251654,6047,180,1.13,0.34,0.0099,0.003,0.937926,0.020658
TIC120252007,4965,111.27,0.71,0.05,0.007,0.0006,1.06088,0.0377403
TIC120252452,5678,100,0.94,0.16,0.0129,0.0022,1.47291,0.0159896
TIC120253552,6202,115.03,1.29,0.46,0.0116,0.0041,0.967127,0.0157882
TIC120253745,5679,57,1.03,0.06,0.0127,0.0008,1.32514,0.0198162
TIC120254625,4201,46.67,0.61,0.02,0.0198,0.0007,3.48291,0.0203921
TIC120314731,5687,114,1.78,0.28,0.0178,0.0028,1.07562,0.0129286
TIC120315006,5206,110.94,0.8,0.05,0.012,0.0008,1.61178,0.0240011
TIC120315151,5643,122.3,0.96,0.18,0.0062,0.0012,0.691059,0.0212988
TIC120317234,6236,57.77,1.19,0.02,0.0481,0.0009,4.3488,0.0255924
TIC120317833,4895,84.63,0.74,0.03,0.0098,0.0004,1.42599,0.0288911
TIC120355363,6079,90.49,1.15,0.18,0.0134,0.0021,1.2539,0.0145343
TIC120418600,3687,38.83,0.5,0.02,0.0345,0.0014,7.41656,0.0245117
TIC120420344,6166,147.64,1.2,0.38,0.0101,0.0032,0.90334,0.018178
TIC120420633,5382,50.1,0.93,0.29,0.0085,0.0026,0.980073,0.0157739
TIC120421638,4070,63,0.6,0.03,0.0118,0.0006,2.11896,0.0426453
TIC120422519,3867,77,0.55,0.03,0.0229,0.0013,4.48309,0.0251873
TIC120424814,6260,161.61,1.27,0.55,0.0174,0.0075,1.47187,0.0123606
TIC120425617,4601,88.57,0.69,0.03,0.0114,0.0005,1.77176,0.0328265
TIC120495446,5812,100,1.24,0.26,0.0165,0.0035,1.42737,0.0148797
TIC120498491,6186,100,1.53,0.31,0.0145,0.0029,1.01648,0.0214681
TIC120571842,5777,61,1.02,0.05,0.0148,0.0007,1.56294,0.0169555
TIC120572779,5894,117.98,1.04,0.21,0.0097,0.002,0.998927,0.01881
TIC120573482,5191,130.91,0.8,0.05,0.0119,0.0008,1.59853,0.0217725
TIC120576846,6106,84.34,1.38,0.06,0.059,0.0125,4.5982709,0.9540632
TIC120577770,6132,87.95,1.29,0.54,0.0168,0.0071,1.4003796,0.09147
TIC120578185,4648,200,0.67,0.21,0.0111,0.0035,1.77633,0.0254838
TIC120578688,4353,118,0.6,0.06,0.0292,0.0029,5.23884,0.0135964
TIC120578712,3578,54.92,0.43,0.04,0.0176,0.0017,4.40862,0.0488359
TIC120578889,5705,123.21,0.94,0.13,0.0045,0.0007,0.518186,0.0360326
TIC120627712,6299,169.62,1.33,0.62,0.0069,0.0033,0.559563,0.041662
TIC120629799,5539,73,1.11,0.12,0.0292,0.0032,2.82589,0.0238868
TIC120638033,5381,100,0.95,0.14,0.0152,0.0022,1.72244,0.0173934
TIC120686458,5761,132.7,0.99,0.15,0.0072,0.0011,0.7802,0.0270237
TIC120686620,5127,78.75,0.79,0.04,0.0129,0.0007,1.76184,0.0225165
TIC120688631,6228,75.22,2.15,0.3,0.0194,0.0027,0.969463,0.0241012
TIC120689253,4997,100,0.76,0.05,0.0172,0.0011,2.43105,0.0180265
TIC120691237,5797,180.98,0.99,0.19,0.0095,0.0018,1.02789,0.0225841
TIC120692092,5392,80,1.09,0.22,0.0151,0.0031,1.48896,0.0200775
TIC120693914,5251,158,0.78,0.11,0.0082,0.0012,1.12699,0.0261823
TIC120762000,5609,92.88,0.91,0.13,0.0058,0.0009,0.683821,0.0408906
TIC120762990,5198,102.36,0.8,0.05,0.0112,0.0007,1.49916,0.0216352
TIC120763491,6183,110,1.3,0.22,0.0174,0.003,1.43924,0.0207486
TIC120765183,4255,100,0.55,0.02,0.0118,0.0005,2.30818,0.0357193
TIC120765800,5311,200,0.7,0.38,0.0126,0.0068,1.93016,0.0232197
TIC120819731,6000,122,1.13,0,0.008,0.0002,0.760108,0.0196589
