Source,RSTAR_dr2,RA_S,DEC_S,PLX_S,PLX_ERR_S,FLUX_U_S,FLUX_ERR_U_S,FLUX_B_S,FLUX_ERR_B_S,FLUX_V_S,FLUX_ERR_V_S,FLUX_R_S,FLUX_ERR_R_S,FLUX_G_S,FLUX_ERR_G_S,FLUX_I_S,FLUX_ERR_I_S,FLUX_J_S,FLUX_ERR_J_S,FLUX_H_S,FLUX_ERR_H_S,FLUX_K_S,FLUX_ERR_K_S,DIA_S,DIA_UNIT_S,DIST_S,DIST_UNIT_S,SOURCE_ID_2,RA_dr2,DEC_dr2,PLX_dr2,PLX_ERR_dr2,TEFF_dr2,TEFF_NEG_dr2,TEFF_POS_dr2,RSTAR_NEG_dr2,RSTAR_POS_dr2,LSTAR_dr2,LSTAR_NEG_dr2,LSTAR_POS_dr2,PLX_WAVG,PLX_ERR_WAVG,Teff_bl,Teff_bl_err,Rstar_bl,Rstar_bl_err,ang_dia_bl,ang_dia_bl_err,plx_bl,plx_bl_err,Walkers,Iterations,Burn In,Best Plx,Parallax,Parallax_err,Teff,u-(Teff),u+(Teff),u%(Teff),Teff_delta_bl,Radius,u-(Radius),u+(Radius),u%(Radius),Radius_delta_bl,scale,u-(scale),u+(scale),apprad,u-(apprad),u+(apprad),angdia,u-(angdia),u+(angdia),u%(angdia),angdia_delta_bl,Good Fit Points,Bad Points,Fit Error,Fit Quality,WL_min,WL_max,VizSed_Error,Baseln,Tau_Teff,Tau_Radius,Stored,Model,Name,Rsn,Rsn_err-,Rsn_err+,%Rsn_err-,%Rsn_err+,Runtime
TIC100990000,1.1362742,54.81984072697,-42.76255164967,15.8985,0.017,3630.7805477010033,3630.7805477010033,1.127196980931211,3630.7805477010033,1.803017360769109,3630.7805477010033,3630.7805477010033,3630.7805477010033,2.0144825658671666,3621.552621868082,3630.7805477010033,3630.7805477010033,4.570881896148734,3541.604001980096,5.546257324444955,3486.5829342943434,5.855985886540159,3535.086136336924,,,62.899,pc,Gaia DR2 4848767461548943104,54.81953795364689,-42.76302761189906,15.89993598740138,0.0291804466695586,6115.65,6005.1,6192.1,1.1083896,1.1083896,1.6271645,1.6223115,1.6223115,15.898863876326343,0.0146890436483086,6169,64.0,1.12,0.01,0.1656,0.0015,15.8999,0.0291804,50,5000,1000,Simbad,15.8985,0.0170000009238719,6186,94,103,1.7,0.3,1.11,0.0258,0.0269,2.4,-0.9,0.000311,0.0329,0.0343,0.0176,0.933,0.972,0.164,0.0038,0.004,2.4,-1.0,12,14,0.11,0.0325001789787203,0.421,11.6,None,NASA,1.851,1.831,New,ck04,TIC100990000,1.11,0.0258,0.0269,0.0232432432432432,0.0242342342342342,0 days 00:08:55.610051
TIC101011575,0.6494546,129.68858495595,-13.25669235077,31.6569,0.0152,3630.7805477010033,3630.7805477010033,0.1629296204374012,3630.7805477010033,0.5105049461661482,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.706348475958994,3621.539279498136,3630.7805477010033,3630.7805477010033,3.165191077911399,3544.8674429865373,5.286886621358198,3464.176413395296,6.036705902375554,3551.4033491464365,,,31.567,pc,Gaia DR2 5746824674801810816,129.6883025960104,-13.256526711809116,31.65007539350205,0.0319396669389432,4645.9697,4576.0,4757.0,0.61949134,0.61949134,0.17705077,0.17675965,0.17675965,31.655639786282,0.0137250418329365,4511,110.0,0.65,0.02,0.1913,0.0059,31.6501,0.0319397,50,5000,1000,Simbad,31.6569,0.0152000002562999,4467,41,42,0.9,-1.0,0.672,0.0163,0.0173,2.6,3.4,0.000453,0.0343,0.0364,0.0213,0.806,0.855,0.198,0.0048,0.0051,2.6,3.5,14,29,0.11,0.0572926501741407,0.35,11.6,None,NASA,1.838,1.836,New,nextgen,TIC101011575,0.672,0.0163,0.0173,0.0242559523809523,0.0257440476190476,0 days 00:08:55.432927
TIC101955023,,153.7157445230879,-47.1567202161406,79.3206,0.0182,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0215377258380693,3280.9529329323555,0.0510943231204999,3621.485911286513,3630.7805477010033,3630.7805477010033,0.7277798812477144,3544.8674429865373,1.2359473465953237,3531.831700100824,1.702943267898928,3541.604001980096,,,12.6071,pc,Gaia DR2 5413438219396893568,153.70906958958517,-47.15493577109935,79.25433823072078,0.0437672245690567,3631.1074,3349.6667,3881.3533,,,,,,79.31083123872641,0.0168049506589867,3363,58.0,0.187,0.00695,0.138,0.0051,79.2543,0.0437672,50,5000,1000,Simbad,79.3206,0.0182000007480382,3421,58,59,1.7,1.7,0.193,0.00689,0.00717,3.7,3.2,0.000234,0.0505,0.0525,0.0153,1.65,1.72,0.142,0.0051,0.0053,3.7,2.9,12,1,0.6000000000000004,0.1332053414361446,0.445,2.19,None,Initial SEDmc Results,1.798,1.807,New,nextgen,TIC101955023,0.193,0.00689,0.00717,0.0356994818652849,0.0371502590673575,0 days 00:15:54.890700
TIC102264230,1.1877352,331.20302564553,-12.01888853991,3.701,0.0201,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0580764539951085,3597.493352298018,0.067920382352592,3499.451673165252,0.0703571926533956,3621.532609108216,3630.7805477010033,3630.7805477010033,0.2064429391646634,3557.951305988067,0.2728976728109454,3557.951305988067,0.304228463720646,3544.8674429865373,,,270.197,pc,Gaia DR2 2613413008919918976,331.2030919809995,-12.019067019514443,3.749642901565935,0.0679499249624707,5371.0,5347.0,5440.75,1.157477,1.157477,1.0576807,1.0331208,1.0331208,3.704913846996957,0.0192744132864926,5565,60.0,1.16,0.01,0.0405,0.0008,3.74964,0.0679499,50,5000,1000,Simbad,3.701,0.0200999993830919,5595,99,103,1.8,0.5,1.11,0.0331,0.0356,3.2,-4.3,1.69e-05,0.0429,0.046,0.00411,5.22,5.59,0.0382,0.0012,0.0012,3.1,-5.7,14,34,0.14,0.0917271287102245,0.436,11.6,None,NASA,1.775,1.799,New,ck04,TIC102264230,1.11,0.0331,0.0356,0.0298198198198198,0.032072072072072,0 days 00:08:51.834259
TIC102840239,0.7694128,155.87188457436,-43.83495593586,16.8245,0.0128,3630.7805477010033,3630.7805477010033,0.1258925854113407,3467.3685021459155,0.296483066034602,3531.831700100824,3630.7805477010033,3630.7805477010033,0.3820527559183334,3621.552621868082,3630.7805477010033,3630.7805477010033,1.404752925017001,3551.4033491464365,2.155757998335352,3535.086136336924,2.292978438755074,3535.086136336924,,,59.716,pc,Gaia DR2 5415648821879172096,155.87193770620465,-43.83492476229843,16.7182957714218,0.0359961603847434,4932.4,4891.525,5035.567,0.73820883,0.73820883,0.31567973,0.31464714,0.31464714,16.812578285538553,0.0120602033803266,4869,77.0,0.77,0.01,0.1197,0.0016,16.7183,0.0359962,50,5000,1000,Simbad,16.8245,0.0127999996766448,4892,46,51,1.0,0.5,0.748,0.0166,0.0169,2.3,-2.9,0.000158,0.0314,0.032,0.0126,1.25,1.27,0.117,0.0026,0.0026,2.2,-2.3,23,20,0.11,0.0426428766262606,0.387,22.1,None,NASA,1.842,1.822,New,ck04,TIC102840239,0.748,0.0166,0.0169,0.0221925133689839,0.0225935828877005,0 days 00:08:52.468833
TIC103633434,0.6243158,152.21586245248,69.27654453264,25.243,0.0126,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.1361445208638907,3499.451673165252,0.1658302565363144,3621.552621868082,3630.7805477010033,3630.7805477010033,1.190144853645865,3564.511335730064,2.139931425709642,3544.8674429865373,2.528133186711256,3554.67581984433,,,39.615,pc,Gaia DR2 1070387905514406400,152.21825486302515,69.27662040330615,25.20160296374287,0.0301893181676523,3996.2227,3881.4324,4102.965,0.5922541,0.5922541,0.08955751,0.08938067,0.08938067,25.236858652333662,0.0116278794737711,3997,51.0,0.62,0.02,0.1453,0.0047,25.2016,0.0301893,50,5000,1000,Simbad,25.243,0.0126000000163912,3934,61,56,1.4,-1.6,0.628,0.0165,0.0197,3.1,1.3,0.000251,0.0372,0.0444,0.0158,1.17,1.4,0.147,0.0039,0.0046,3.1,1.2,16,8,0.11,0.0397716812779828,0.352,22.1,None,NASA,1.99,1.97,New,nextgen,TIC103633434,0.628,0.0165,0.0197,0.0262738853503184,0.0313694267515923,0 days 00:09:18.011877
TIC106402532,0.950032,159.40916152404,-40.8883430364,13.2847,0.0127,3630.7805477010033,3630.7805477010033,0.3076095950119886,3531.831700100824,0.6081352363115443,3564.511335730064,0.4621681718161095,3564.511335730064,0.6940103811935646,3621.575971133768,3630.7805477010033,3630.7805477010033,1.870681680285382,3544.8674429865373,2.414349085988924,3499.451673165252,2.6424092679427225,3551.4033491464365,,,75.275,pc,Gaia DR2 5392409372314518656,159.409318318245,-40.88825901875833,13.267377090183013,0.0308809610572723,5639.0,5505.5,5732.25,0.9193739,0.9193739,0.822204,0.8191651,0.8191651,13.282193988219346,0.0117455116403373,5585,60.0,0.95,0.01,0.1172,0.0013,13.2674,0.030881,50,5000,1000,Simbad,13.2847,0.012699999846518,5643,63,69,1.2,1.0,0.924,0.0223,0.023,2.5,-2.7,0.000151,0.0342,0.0352,0.0123,1.39,1.43,0.114,0.0028,0.0028,2.5,-2.7,22,18,0.11,0.0405922204906837,0.352,22.1,None,NASA,1.812,1.799,New,ck04,TIC106402532,0.924,0.0223,0.023,0.0241341991341991,0.0248917748917748,0 days 00:09:17.919939
TIC110999033,0.6703964,188.89367952181,-10.06922862686,3.7948,0.0228,3630.7805477010033,3630.7805477010033,0.0011912430125209,3372.87309214359,0.0037670378574854,3404.0818960756146,0.0061376183265025,3047.894996320897,0.006651769084302,3621.545950676964,3630.7805477010033,3630.7805477010033,0.040550849270617,3525.3318070237515,0.0712525055068024,3544.8674429865373,0.0866163936739482,3541.604001980096,,,263.518,pc,Gaia DR2 3578596339057980160,188.89351894497096,-10.06927925978104,3.845631539730856,0.0302869903492498,4244.0,4163.8525,4407.4297,0.6216009,0.6216009,0.13135892,0.12885426,0.12885426,3.813186681445785,0.0182155027606305,4667,305.0,0.69,0.02,0.0247,0.0007,3.84563,0.030287,50,5000,1000,Simbad,3.7948,0.0228000003844499,3722,190,185,5.0,-20.2,0.838,0.0571,0.0675,8.1,21.4,1.01e-05,0.0967,0.114,0.00318,15.2,17.9,0.0296,0.002,0.0024,8.1,19.8,12,35,0.4200000000000002,0.2614677764573712,0.784,11.6,None,NASA,2.73,2.503,New,nextgen,TIC110999033,0.838,0.0571,0.0675,0.0681384248210023,0.0805489260143198,0 days 00:09:11.054487
TIC113979956,,54.75157023871,19.12017324791,8.9652,0.029,3630.7805477010033,3630.7805477010033,0.0005754399373371,3372.87309214359,0.0023334590461042,3597.493352298018,0.0033419499305879,3191.537853348665,0.0056149948883467,3621.3858473299306,3630.7805477010033,3630.7805477010033,0.0556160472013541,3561.229810356255,0.0949729370393975,3567.7958848932244,0.1158777600434639,3577.667696856915,,,111.542,pc,Gaia DR2 56983706234931328,54.75145657931114,19.11996672859134,9.016631746297811,0.0666993321328302,3981.23,3588.5,4440.46,,,,,,8.973376885539492,0.0265949886507929,3461,43.0,0.431,0.0134,0.0359,0.0011,9.01663,0.0666993,50,5000,1000,Simbad,8.9652,0.0289999991655349,3473,55,61,1.8,0.3,0.449,0.0165,0.0165,3.7,4.2,1.62e-05,0.0522,0.0522,0.00402,6.48,6.48,0.0374,0.0014,0.0014,3.7,4.2,14,26,0.14,0.079716922900618,0.468,11.6,None,Initial SEDmc Results,1.876,1.852,New,nextgen,TIC113979956,0.449,0.0165,0.0165,0.0367483296213808,0.0367483296213808,0 days 00:09:07.667048
TIC116483514,0.67383564,232.9450683185774,47.0568359963406,30.8112,0.0106,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.3777461863657166,3597.493352298018,0.4057892637044973,3621.525937953963,3630.7805477010033,3630.7805477010033,2.295091169602653,3567.7958848932244,4.085073858523369,3561.229810356255,4.570881896148734,3561.229810356255,,,32.4557,pc,Gaia DR2 1401760747118886016,232.9460470497876,47.05555071593676,30.76132026753743,0.0211786860995431,4215.86,4146.4834,4339.0,0.63613164,0.63613164,0.12922522,0.12905163,0.12905163,30.801207988944363,0.009479019326425,4266,100.0,0.66,0.1,0.1888,0.0286,30.7613,0.0211787,50,5000,1000,Simbad,30.8112,0.0105999996885657,4314,46,48,1.1,1.1,0.63,0.0156,0.0163,2.6,-4.5,0.000377,0.035,0.0366,0.0194,0.901,0.942,0.181,0.0045,0.0047,2.6,-4.1,12,15,0.16,0.0679592491868386,0.445,5.03,None,NASA,1.882,1.856,New,nextgen,TIC116483514,0.63,0.0156,0.0163,0.0247619047619047,0.0258730158730158,0 days 00:09:00.194923
