_RAJ2000,_DEJ2000,_tabname,_ID,_tab1_86,_tab1_87,sed_freq,sed_flux,sed_eflux,sed_filter,wl
129.6885833865,-13.2566892723,I/239/hip_main,recno=42369,,0.0,541430.0,0.493,,Johnson:V,0.5540882477882644
129.6885833865,-13.2566892723,I/239/hip_main,recno=42369,,0.0,563630.0,0.47,0.015,HIP:VT,0.532264073949222
129.6885833865,-13.2566892723,I/239/hip_main,recno=42369,,0.0,713280.0,0.129,0.01,HIP:BT,0.4205921938088829
129.6885833865,-13.2566892723,I/239/hip_main,recno=42369,,0.0,745750.0,0.449,0.001,HIP:Hp,0.4022795843110962
129.6885763941,-13.2566106002,I/239/tyc_main,recno=574672,,0.0,541430.0,0.517,,Johnson:V,0.5540882477882644
129.6885763941,-13.2566106002,I/239/tyc_main,recno=574672,,0.0,563630.0,0.47,0.015,HIP:VT,0.532264073949222
129.6885763941,-13.2566106002,I/239/tyc_main,recno=574672,,0.0,713280.0,0.129,0.01,HIP:BT,0.4205921938088829
129.6885894994,-13.2566944494,I/280B/ascc,recno=1380425,,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.6885894994,-13.2566944494,I/280B/ascc,recno=1380425,,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.6885894994,-13.2566944494,I/280B/ascc,recno=1380425,,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.6885833,-13.2566894,I/297/out,"NOMAD1===0767-0203748&-c=129.6885833 -13.2566894,eq=J2000&-c.rs=",,0.0,181750.0,1.53,,2MASS:H,1.6506189821182944
129.6885833,-13.2566894,I/297/out,"NOMAD1===0767-0203748&-c=129.6885833 -13.2566894,eq=J2000&-c.rs=",,0.0,241960.0,1.37,,2MASS:J,1.2398743593982477
129.688597,-13.256698,I/305/out,"GSC2.3===S5WI000987&-c=129.688597 -13.256698,eq=J2000&-c.rs=0.00",,0.0,674900.0,0.136,0.009,Johnson:B,0.44451029782189955
129.688584,-13.256688,I/305/out,"GSC2.3===S5WI043412&-c=129.688584 -13.256688,eq=J2000&-c.rs=0.00",,0.0,674900.0,0.206,0.002,Johnson:B,0.44451029782189955
129.688583845,-13.2566882424,I/311/hip2,recno=42270,,0.0,745750.0,0.449,0.001,HIP:Hp,0.4022795843110962
129.688586,-13.25669205,I/317/sample,"PPMXL=2840727327331533483&-c=129.688586 -13.256692,eq=J2000&-c.r",,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.688586,-13.25669205,I/317/sample,"PPMXL=2840727327331533483&-c=129.688586 -13.256692,eq=J2000&-c.r",,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.688586,-13.25669205,I/317/sample,"PPMXL=2840727327331533483&-c=129.688586 -13.256692,eq=J2000&-c.r",,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.6885845,-13.2567017,I/322A/out,"UCAC4===384-050108&-c=129.6885845 -13.2567017,eq=J2000&-c.rs=0.0",,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.6885845,-13.2567017,I/322A/out,"UCAC4===384-050108&-c=129.6885845 -13.2567017,eq=J2000&-c.rs=0.0",,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.6885845,-13.2567017,I/322A/out,"UCAC4===384-050108&-c=129.6885845 -13.2567017,eq=J2000&-c.rs=0.0",,0.0,241960.0,1.37,0.04,2MASS:J,1.2398743593982477
129.68847704,-13.25664496,I/327/cmc15,"-c=129.688477 -13.256645,eq=ICRS&-c.rs=0.004",,,138550.0,1.12,,2MASS:Ks,2.165283291230603
129.68847704,-13.25664496,I/327/cmc15,"-c=129.688477 -13.256645,eq=ICRS&-c.rs=0.004",,,181750.0,1.53,,2MASS:H,1.6506189821182944
129.68847704,-13.25664496,I/327/cmc15,"-c=129.688477 -13.256645,eq=ICRS&-c.rs=0.004",,,241960.0,1.37,,2MASS:J,1.2398743593982477
129.6885845792,-13.256692441,I/339/hsoy,"-c=129.6885845792 -13.2566924410,eq=J2000&-c.rs=0.004",,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.6885845792,-13.256692441,I/339/hsoy,"-c=129.6885845792 -13.2566924410,eq=J2000&-c.rs=0.004",,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.6885845792,-13.256692441,I/339/hsoy,"-c=129.6885845792 -13.2566924410,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.64,0.001,Gaia:G,0.6734611412921474
129.688588117,-13.256699883,I/340/ucac5,"-c=129.6885878 -13.2566997,eq=J2000&-c.rs=0.004",,0.0,181750.0,1.53,,2MASS:H,1.6506189821182944
129.688588117,-13.256699883,I/340/ucac5,"-c=129.6885878 -13.2566997,eq=J2000&-c.rs=0.004",,0.0,241960.0,1.37,,2MASS:J,1.2398743593982477
129.688588117,-13.256699883,I/340/ucac5,"-c=129.6885878 -13.2566997,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.64,,Gaia:G,0.6734611412921474
129.688561910556,-13.2566791643823,I/350/tyc2tdsc,recno=1387933,,0.0,563630.0,0.458,0.014,HIP:VT,0.532264073949222
129.688561910556,-13.2566791643823,I/350/tyc2tdsc,recno=1387933,,0.0,713280.0,0.126,0.009,HIP:BT,0.4205921938088829
129.6885894918784,-13.2566838338829,I/353/gsc242,"-c=129.68860400000 -13.25669200000,eq=ICRS&-c.rs=0.004",,,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.6885894918784,-13.2566838338829,I/353/gsc242,"-c=129.68860400000 -13.25669200000,eq=ICRS&-c.rs=0.004",,,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.6885894918784,-13.2566838338829,I/353/gsc242,"-c=129.68860400000 -13.25669200000,eq=ICRS&-c.rs=0.004",,,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.68857667,-13.2566861,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,332440.0,1.1,0.03,SDSS:z,0.9024184815305017
129.68857667,-13.2566861,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,392660.0,0.66,0.015,SDSS:i,0.7640197626445271
129.68857667,-13.2566861,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,479900.0,0.711,0.065,SDSS:r,0.625130235465722
129.68857667,-13.2566861,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,621980.0,0.275,0.004,SDSS:g,0.48233062156339435
129.6885844,-13.2566922,II/122B/merged,recno=35088,,0.0,541430.0,0.493,,Johnson:V,0.5540882477882644
129.6885844,-13.2566922,II/122B/merged,recno=35089,,0.0,541430.0,0.512,,Johnson:V,0.5540882477882644
129.688604,-13.256692,II/246/out,"2MASS===08384526-1315240 &-c=129.688604 -13.256692,eq=J2000&-c.r",2451214.6879,4700.0,136890.0,1.09,0.02,Johnson:K,2.1915406530791146
129.688604,-13.256692,II/246/out,"2MASS===08384526-1315240 &-c=129.688604 -13.256692,eq=J2000&-c.r",2451214.6879,4700.0,183920.0,1.51,0.07,Johnson:H,1.6311439756415833
129.688604,-13.256692,II/246/out,"2MASS===08384526-1315240 &-c=129.688604 -13.256692,eq=J2000&-c.r",2451214.6879,4700.0,239830.0,1.4,0.03,Johnson:J,1.250886044281366
129.68869,-13.25671,II/297/irc,objID=200147911,,0.0,34819.0,0.105,0.01,AKARI:S9W,8.615985525144318
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,13571.0,0.0162,0.0011,WISE:W4,22.105961240881292
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,25934.0,0.0492,0.0007,WISE:W3,11.56782601989666
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,65172.0,0.277,0.005,WISE:W2,4.603203829865587
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,89490.0,0.546,0.016,WISE:W1,3.352329869259135
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.6884234,-13.25658154,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
,,II/312/ais,recno=129,,0.0,1960700.0,0.000298,,GALEX:FUV,0.15300657928290917
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,13571.0,0.017,0.0013,WISE:W4,22.105961240881292
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,25934.0,0.0494,0.0008,WISE:W3,11.56782601989666
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,65172.0,0.28,0.005,WISE:W2,4.603203829865587
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,89490.0,0.558,0.019,WISE:W1,3.352329869259135
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.688407421,-13.256583393,II/328/allwise,"AllWISE===J083845.21-131523.7&-c=129.6884074 -13.2565834,eq=J200",,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,59601.0,0.259,0.005,Johnson:M,5.033472592741733
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,88174.0,0.524,0.018,Johnson:L,3.40236350851725
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,136890.0,1.09,0.02,Johnson:K,2.1915406530791146
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,183920.0,1.51,0.07,Johnson:H,1.6311439756415833
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,239830.0,1.4,0.03,Johnson:J,1.250886044281366
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,563630.0,0.51,0.016,HIP:VT,0.532264073949222
129.6885838333,-13.25668825,II/346/jsdc_v2,recno=159320,,0.0,713280.0,0.192,0.006,HIP:BT,0.4205921938088829
129.688604,-13.256692,II/349/ps1,"-c=129.688604000 -13.256692000,eq=J2000&-c.rs=0.004",2451214.687894,1160.0,312400.0,1.17,,PAN-STARRS/PS1:y,0.9603072983354674
129.688604,-13.256692,II/349/ps1,"-c=129.688604000 -13.256692000,eq=J2000&-c.rs=0.004",2451214.687894,1160.0,346500.0,1.05,,PAN-STARRS/PS1:z,0.8658008658008658
129.688604,-13.256692,II/349/ps1,"-c=129.688604000 -13.256692000,eq=J2000&-c.rs=0.004",2451214.687894,1160.0,400800.0,0.878,,PAN-STARRS/PS1:i,0.7485029940119761
129.688604,-13.256692,II/349/ps1,"-c=129.688604000 -13.256692000,eq=J2000&-c.rs=0.004",2451214.687894,1160.0,489400.0,0.643,,PAN-STARRS/PS1:r,0.6129955046996322
129.688604,-13.256692,II/349/ps1,"-c=129.688604000 -13.256692000,eq=J2000&-c.rs=0.004",2451214.687894,1160.0,628200.0,0.301,,PAN-STARRS/PS1:g,0.4775549188156638
129.68857667,-13.2566861,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,312400.0,0.938,0.066,PAN-STARRS/PS1:y,0.9603072983354674
129.68857667,-13.2566861,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,346500.0,1.1,0.03,PAN-STARRS/PS1:z,0.8658008658008658
129.68857667,-13.2566861,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,400800.0,0.658,0.014,PAN-STARRS/PS1:i,0.7485029940119761
129.68857667,-13.2566861,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,489400.0,0.709,0.064,PAN-STARRS/PS1:r,0.6129955046996322
129.68857667,-13.2566861,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,628200.0,0.275,0.004,PAN-STARRS/PS1:g,0.4775549188156638
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,329800.0,0.625,0.002,SkyMapper/SkyMapper:z,0.9096422073984233
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,329800.0,0.53,0.04,SkyMapper/SkyMapper:z,0.9096422073984233
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,496300.0,0.593,0.002,SkyMapper/SkyMapper:r,0.6044731009470079
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,496300.0,0.577,0.008,SkyMapper/SkyMapper:r,0.6044731009470079
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,603400.0,0.401,0.012,SkyMapper/SkyMapper:g,0.49718263175339744
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,603400.0,0.41,0.009,SkyMapper/SkyMapper:g,0.49718263175339744
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,774500.0,0.0355,0.0002,SkyMapper/SkyMapper:v,0.38734667527437056
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,774500.0,0.0358,0.0003,SkyMapper/SkyMapper:v,0.38734667527437056
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,857000.0,0.0119,0.0,SkyMapper/SkyMapper:u,0.3500583430571762
129.68835496902,-13.25653505325,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,857000.0,0.0119,0.0,SkyMapper/SkyMapper:u,0.3500583430571762
129.68850255,-13.25668494,II/359/vhs_dr4,"-c=129.688503 -13.256685,eq=J2000&-c.rs=0.004",,,140500.0,0.0917,1e-04,VISTA:Ks,2.1352313167259784
129.68850255,-13.25668494,II/359/vhs_dr4,"-c=129.688503 -13.256685,eq=J2000&-c.rs=0.004",,,240530.0,0.00797,5e-05,VISTA:J,1.2472456658213114
129.688584722,-13.256692222,II/361/mdfc-v10,recno=219869,,0.0,138550.0,1.12,,2MASS:Ks,2.165283291230603
129.688584722,-13.256692222,II/361/mdfc-v10,recno=219869,,0.0,181750.0,1.53,,2MASS:H,1.6506189821182944
129.688584722,-13.256692222,II/361/mdfc-v10,recno=219869,,0.0,241960.0,1.37,,2MASS:J,1.2398743593982477
129.688432752,-13.256525871,II/363/unwise,"-c=129.6884328 -13.2565259,eq=J2000&-c.rs=0.004",,0.0,65172.0,0.285,0.0,WISE:W2,4.603203829865587
129.688432752,-13.256525871,II/363/unwise,"-c=129.6884328 -13.2565259,eq=J2000&-c.rs=0.004",,0.0,89490.0,0.438,0.0,WISE:W1,3.352329869259135
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,13571.0,0.017,0.0013,WISE:W4,22.105961240881292
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,25934.0,0.0494,0.0008,WISE:W3,11.56782601989666
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,65172.0,0.28,0.005,WISE:W2,4.603203829865587
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,89490.0,0.558,0.019,WISE:W1,3.352329869259135
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,445460.0,0.587,0.001,Gaia:G,0.6734611412921474
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,541430.0,0.458,,Johnson:V,0.5540882477882644
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,541430.0,0.48,,Johnson:V,0.5540882477882644
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,674900.0,0.215,0.014,Johnson:B,0.44451029782189955
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,1296700.0,0.000313,8e-06,GALEX:NUV,0.23135652039793322
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,1960700.0,6.62e-06,1.97e-06,GALEX:FUV,0.15300657928290917
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,241770.0,1.88,0.12,DENIS:J,1.2408487405385284
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,379480.0,0.455,0.029,DENIS:I,0.7905554969958891
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,541430.0,0.458,,Johnson:V,0.5540882477882644
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,563630.0,0.458,0.014,HIP:VT,0.532264073949222
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,674900.0,0.215,0.014,Johnson:B,0.44451029782189955
129.6885833,-13.2566944,III/279/rave_dr5,recno=228052,,0.0,713280.0,0.126,0.009,HIP:BT,0.4205921938088829
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,13571.0,0.017,0.0013,WISE:W4,22.105961240881292
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,25934.0,0.0494,0.0008,WISE:W3,11.56782601989666
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,65172.0,0.28,0.005,WISE:W2,4.603203829865587
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,89490.0,0.558,0.019,WISE:W1,3.352329869259135
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,183920.0,1.51,0.07,Johnson:H,1.6311439756415833
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,239830.0,1.4,0.03,Johnson:J,1.250886044281366
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.591,0.0,Gaia:G,0.6734611412921474
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,541430.0,0.493,0.014,Johnson:V,0.5540882477882644
129.688585068666,-13.2566919334745,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,674900.0,0.215,0.014,Johnson:B,0.44451029782189955
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,13571.0,0.017,0.0013,WISE:W4,22.105961240881292
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,25934.0,0.0494,0.0008,WISE:W3,11.56782601989666
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,65172.0,0.28,0.005,WISE:W2,4.603203829865587
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,89490.0,0.558,0.019,WISE:W1,3.352329869259135
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,183920.0,1.51,0.07,Johnson:H,1.6311439756415833
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,239830.0,1.4,0.03,Johnson:J,1.250886044281366
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.591,0.0,Gaia:G,0.6734611412921474
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,541430.0,0.493,0.014,Johnson:V,0.5540882477882644
129.688585068666,-13.2566919334745,IV/39/tic82,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,674900.0,0.215,0.014,Johnson:B,0.44451029782189955
129.68867917,-13.2567,V/98/msx,recno=63450,,0.0,25866.0,0.15,,IRAS:12,11.59823706796567
129.68859889,-13.2567,V/136/tycall,recno=1246581,,0.0,563630.0,0.458,0.014,HIP:VT,0.532264073949222
129.68859889,-13.2567,V/136/tycall,recno=1246581,,0.0,713280.0,0.126,0.009,HIP:BT,0.4205921938088829
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,136890.0,1.09,0.02,Johnson:K,2.1915406530791146
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,183920.0,1.51,0.07,Johnson:H,1.6311439756415833
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,239830.0,1.4,0.03,Johnson:J,1.250886044281366
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,541430.0,0.493,,Johnson:V,0.5540882477882644
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,674900.0,0.207,,Johnson:B,0.44451029782189955
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,745750.0,0.468,,HIP:Hp,0.4022795843110962
129.6885855189,-13.2566912098,V/137D/XHIP,recno=42270,,0.0,745750.0,0.449,0.001,HIP:Hp,0.4022795843110962
129.688583333,-13.256689167,V/145/sky2kv5,recno=108357,,0.0,674900.0,0.206,0.001,Johnson:B,0.44451029782189955
129.688583333,-13.256689167,V/145/sky2kv5,recno=108357,,0.0,849030.0,0.0342,0.0007,Johnson:U,0.35334440479135015
129.688585,-13.2566919,B/pastel/pastel,recno=37002,,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.688585,-13.2566919,B/pastel/pastel,recno=37002,,0.0,181750.0,1.53,0.07,2MASS:H,1.6506189821182944
129.688585,-13.2566919,B/pastel/pastel,recno=37002,,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.688585,-13.2566919,B/pastel/pastel,recno=37002,,0.0,541430.0,0.512,,Johnson:V,0.5540882477882644
129.688585,-13.2566919,B/pastel/pastel,recno=37002,,0.0,674900.0,0.191,,Johnson:B,0.44451029782189955
129.688583845,-13.256688242,J/A+A/546/A61/tablea1,recno=42270,,0.0,745750.0,0.449,,HIP:Hp,0.4022795843110962
129.6885833,-13.2566667,J/A+A/609/A116/lowetgas,recno=123807,,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283291230603
129.6885833,-13.2566667,J/A+A/609/A116/lowetgas,recno=123807,,0.0,241960.0,1.37,0.03,2MASS:J,1.2398743593982477
129.6885833,-13.2566667,J/A+A/609/A116/lowetgas,recno=123807,,0.0,445460.0,0.64,0.001,Gaia:G,0.6734611412921474
129.69,-13.26,J/A+A/623/A72/hipgpma,recno=41998,,0.0,445460.0,0.58,0.0,Gaia:G,0.6734611412921474
129.69,-13.26,J/A+A/623/A72/hipgpma,recno=41998,,0.0,541430.0,0.501,,Johnson:V,0.5540882477882644
129.688585,-13.2566919,J/A+A/624/A78/table2,recno=49,,0.0,541430.0,0.493,,Johnson:V,0.5540882477882644
129.688585,-13.256691667,J/A+A/636/A74/list,recno=273,,0.0,445460.0,0.591,,Gaia:G,0.6734611412921474
129.688585,-13.2566922,J/A+A/657/A7/tablea1,recno=41687,,0.0,445460.0,0.58,0.0,Gaia:G,0.6734611412921474
