_RAJ2000,_DEJ2000,src,_ID,_tab1_86,_tab1_87,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,1960700.0,7e-06,2e-06,GALEX:FUV,0.153007,5.507892540823501e-08,0.9921315821924628,0.9921315821924628
129.68855,-13.25653,II/366/catv2021,recno=89947,2457036.72069,165.0,1296700.0,0.000313,8e-06,GALEX:NUV,0.231357,1.5560307834013687e-06,0.9950286555936144,0.9950286555936144
129.688583,-13.256689,V/145/sky2kv5,recno=108357,,0.0,849030.0,0.0342,0.0007,Johnson:U,0.353344,0.013420438756873812,0.6075895273356785,0.6075895273356785
129.688355,-13.256535,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,774500.0,0.0355,0.0002,SkyMapper/SkyMapper:v,0.387347,0.04198646937136197,0.18271740835776543,-0.18271740835776543
129.688583,-13.256689,I/239/hip_main,recno=42369,,0.0,745750.0,0.449,0.001,HIP:Hp,0.40228,0.06083973530107349,0.8644994762319597,0.8644994762319597
129.688584,-13.256688,II/346/jsdc_v2,recno=159320,,0.0,713280.0,0.192,0.006,HIP:BT,0.420592,0.07728454769389707,0.5974763175931604,0.5974763175931604
129.688583,-13.256689,V/145/sky2kv5,recno=108357,,0.0,674900.0,0.206,0.001,Johnson:B,0.44451,0.1530944139795361,0.25682323396917983,0.25682323396917983
129.688355,-13.256535,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,603400.0,0.41,0.009,SkyMapper/SkyMapper:g,0.497183,0.27573129318049433,0.32748464491317886,0.32748464491317886
129.688596,-13.2567,J/PASP/120/1128/catalog,recno=1379804,,0.0,563630.0,0.456,0.013,HIP:VT,0.532264,0.33386874916609494,0.267831690808043,0.267831690808043
129.688583,-13.256689,J/MNRAS/471/770/table2,recno=38479,,0.0,499420.0,0.458,,Subaru/Suprime:IA598,0.600697,0.5722221104049788,0.24939324245232472,-0.24939324245232472
129.688577,-13.256686,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,489400.0,0.709,0.064,PAN-STARRS/PS1:r,0.612996,0.5855760170753583,0.1740817712774734,0.1740817712774734
129.688577,-13.256686,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,479900.0,0.711,0.065,SDSS:r,0.62513,0.6023455549208183,0.15281922150414523,0.15281922150414523
129.688585,-13.256692,IV/38/tic,"-c=129.68858506867 -13.25669193347,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.591,0.0,Gaia:G,0.673461,0.707750385546296,0.1975471421180914,-0.1975471421180914
129.688577,-13.256686,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,400800.0,0.658,0.014,PAN-STARRS/PS1:i,0.748503,0.8643777291818334,0.3136439805534067,-0.3136439805534067
129.688577,-13.256686,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,392660.0,0.66,0.015,SDSS:i,0.76402,0.9207002897589747,0.3950003835964146,-0.3950003835964146
129.688583,-13.256694,III/279/rave_dr5,recno=228052,,0.0,379480.0,0.455,0.029,DENIS:I,0.790555,0.9321363574499503,1.048651276013058,-1.048651276013058
129.688355,-13.256535,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,329800.0,0.625,0.002,SkyMapper/SkyMapper:z,0.909642,1.0676203965709312,0.7081926345134899,-0.7081926345134899
