_RAJ2000,_DEJ2000,src,_ID,_tab15_64,_tab15_65,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
159.409398,-40.888284,II/358/smss,"-c=159.409398079 -40.888283968,eq=ICRS&-c.rs=0.004",,0.0,774500.0,0.133,0.013300001,SkyMapper/SkyMapper:v,0.387347,0.14260133116500837,0.07219044931611043,-0.07219044931611043
159.409161,-40.888342,I/345/gaia2,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,0.0,594100.0,0.488,0.048800003,GAIA/GAIA2:Gbp,0.504965,0.4454021956453214,0.08729059295007548,0.08729059295007548
159.409323,-40.888256,I/360/syntphot,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,548100.0,0.595,0.059500005,Cousins:V,0.547345,0.5891646927833168,0.009807286632477185,0.009807286632477185
159.409161,-40.888342,IV/38/tic,"-c=159.40916145145 -40.88834231996,eq=J2000&-c.rs=0.004",,0.0,541430.0,0.61,0.002,Johnson:V,0.554088,0.6155523248689644,0.009102148251872727,-0.009102148251872727
159.409162,-40.888343,I/350/gaiaedr3,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,514900.0,0.617,0.002,GAIA/GAIA3:G,0.582637,0.6583033205037012,0.06694220065066868,-0.06694220065066868
159.409161,-40.888342,I/353/gsc242,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,,479900.0,0.715,0.011,SDSS:r,0.62513,0.7105215291692433,0.006263559117456507,0.006263559117456507
159.409323,-40.888256,I/360/syntphot,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,463430.0,0.718,0.0718,Cousins:R,0.647347,0.7501462664616669,0.04477196649263786,-0.04477196649263786
159.409162,-40.888343,I/350/gaiaedr3,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,393400.0,0.781,0.003,GAIA/GAIA3:Grp,0.762583,0.8223321143796094,0.05292201703055108,-0.05292201703055108
159.409161,-40.888342,I/353/gsc242,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,,392660.0,0.796,0.018,SDSS:i,0.76402,0.8223321143796094,0.033080540752160666,-0.033080540752160666
159.409161,-40.888342,I/345/gaia2,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,0.0,388100.0,0.795,0.079500005,GAIA/GAIA2:Grp,0.772997,0.8225741904815956,0.03468449460809452,-0.03468449460809452
159.409323,-40.888256,I/360/syntphot,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,380160.0,0.831,0.0831,Cousins:I,0.789141,0.8218999121359915,0.01095073239933952,0.01095073239933952
159.409157,-40.888343,J/PASP/120/1128/catalog,recno=1039191,,0.0,239830.0,0.83,0.015,Johnson:J,1.250886,0.7919169832431499,0.045883133534104836,0.045883133534104836
159.409161,-40.888342,J/ApJ/867/105/refcat2,"-c=159.40931832 -40.88825902,eq=ICRS&-c.rs=0.004",,0.0,181750.0,0.698,0.024,2MASS:H,1.650619,0.7575653128887486,0.08533710298052419,-0.08533710298052419
159.409157,-40.888343,J/PASP/120/1128/catalog,recno=1039191,,0.0,136890.0,0.477,0.009,Johnson:K,2.191541,0.48790367842710425,0.02285886871709164,-0.02285886871709164
159.409161,-40.888342,I/353/gsc242,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,,25934.0,0.0215,0.0004,WISE:W3,11.567826,0.021354011500114553,0.006790196515555191,0.006790196515555191
