P,Ms,Rp,Sp
4.040295,1.1,1.357231743,493.5385763
9.573083,1.1,2.319059064,156.5069271
6.398042,0.73,2.887245581,43.73390074
18.87974,0.73,2.542610333,10.33283874
1.628931,0.18,1.063102035,19.55392311
9.030501,1.06,3.555001107,144.6506864
11.197259,0.78,2.852515204,35.25845992
34.976145,0.78,2.550099552,7.718345605
3.444714,0.63,1.721028725,57.32629464
4.884765,0.96,1.94358549,251.404069
4.6122,0.26,2.298082395,22.10871366
1.4520358,0.59,1.341940595,233.1502255
9.30412078,0.75,1.957344315,33.76
23.968127,0.6,2.310680523,3.510685723
16.709184,0.66,2.007604387,13.63
28.551383,0.66,1.96898372,6.68
4.94329023,0.96,1.15387423,296.74
9.59070716,0.88,2.179980353,82.77
4.64490986,1.02,1.44411232,504.23
8.49642241,0.74,2.521336133,60.771854
8.594805,0.98,1.946313107,159.07
20.2641684,1.19,2.300217125,132.59
7.44142113,1.19,1.433360152,503.72
7.930592,1.09,3.124930299,136.52
16.665863,1.09,2.985845198,50.68
14.28226676,0.64,2.36070163,12.49
6.14955998,1.08,3.67279653,649.26
28.26731672,0.83,2.856315466,11.92
4.16809082,0.98,2.746695497,645.9430199
6.8834055,1.19,2.941973759,330.55
13.62798432,0.77,2.439681861,29
4.48758907,1.05,1.306148018,827.22
4.19449651,0.52,1.589667475,26.23769684
25.0824626,1.13,2.39252897,80.05960301
89.722292,1.13,2.484185621,14.63434147
8.84794044,0.58,1.496094733,12.48
1.13854338,1.16,1.13799383,4345.392634
3.908632,0.73,2.075488313,99.1
14.400974,1.03,2.197298907,79.7
11.189562,1.19,1.909751651,257.72
17.849,1,3.155391287,138.41
26.136,1,3.036183542,83.24
1.592851,1.07,1.685667815,1314.723631
1.92279873,0.84,1.385835398,496.82
2.76122421,1.2,1.071326788,1218.624994
5.47666,0.65,1.799669376,64.84
11.01816836,0.96,3.675702994,185.9992158
1.54168,0.99,1.623387238,1107.39
55.328328,0.92,1.991733354,10.08
25.873148,0.99,2.649183403,32.3368683
15.65562652,0.83,2.364858793,24.47
3.250619,0.84,1.365263088,195.22
6.195469,0.84,1.429728699,82.85
8.348125,0.84,1.424170703,55.53
13.767102,0.84,2.173183561,28.55
87.090195,0.84,2.836574107,2.44
46.8779367,0.99,2.640284478,17.42
10.84969477,0.87,3.155178908,51.50509976
12.12400943,0.83,2.337917718,36.79
40.80970001,1.24,2.920814366,31.05
3.340222,0.58,2.419729515,68.80882578
7.824904,0.58,1.357838192,22.11596524
20.060548,0.58,2.282065706,6.30310003
46.183669,0.58,2.259020663,2.073448949
3.177422,0.86,2.491458042,220.49
41.008011,0.86,2.344577443,7.3
3.0255955,1.13,1.357723458,975.18
18.92540274,0.94,3.236547168,27.74
1.47532231,0.94,1.591155095,833.59
4.15244722,0.94,1.910857887,209.75
85.65399933,1.15,3.019479779,8.08
4.75615,0.9,1.656774687,159.9085329
17.1784,0.9,2.453597119,28.85595251
8.20395,0.81,2.576292623,43.77
14.496481,0.81,2.011134522,20.5
6.238297,1.17,2.784505556,542.96
